epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,11749.8,1.3726,0.54189,1.4234,0.96347,0.97751,0.99257,0.6622,1.20381,0.40713,1.38352,0.0075448,0.0075448,0.0075448
126,11879,1.37034,0.53914,1.42767,0.96206,0.9787,0.99257,0.6612,1.20342,0.40703,1.38333,0.007525,0.007525,0.007525
127,12007.8,1.36736,0.5422,1.42507,0.96226,0.9787,0.99256,0.66245,1.20307,0.40709,1.38303,0.0075052,0.0075052,0.0075052
128,12136.5,1.36621,0.53405,1.41356,0.96164,0.97892,0.99259,0.66231,1.2029,0.40728,1.38288,0.0074854,0.0074854,0.0074854
129,12265.3,1.36228,0.53837,1.41914,0.96164,0.97902,0.99258,0.6618,1.20257,0.40758,1.38263,0.0074656,0.0074656,0.0074656
130,12394.1,1.36536,0.53942,1.41807,0.96117,0.9787,0.99261,0.66204,1.20209,0.40725,1.38225,0.0074458,0.0074458,0.0074458
131,12523,1.36541,0.53506,1.42446,0.96386,0.97843,0.99258,0.6627,1.20203,0.40692,1.38218,0.007426,0.007426,0.007426
132,12651.7,1.3586,0.53684,1.41702,0.96387,0.97864,0.99257,0.66145,1.20187,0.40726,1.38209,0.0074062,0.0074062,0.0074062
133,12780.5,1.36715,0.53239,1.41519,0.96342,0.9787,0.99257,0.66217,1.20151,0.40718,1.38181,0.0073864,0.0073864,0.0073864
134,12909.3,1.36198,0.53403,1.42176,0.96483,0.97393,0.99261,0.663,1.20092,0.40728,1.38143,0.0073666,0.0073666,0.0073666
135,13038,1.35233,0.52719,1.41023,0.96076,0.9787,0.99256,0.66304,1.20099,0.4067,1.38139,0.0073468,0.0073468,0.0073468
136,13166.7,1.35801,0.53785,1.41594,0.96177,0.9787,0.99259,0.66323,1.20053,0.4067,1.38107,0.007327,0.007327,0.007327
137,13295.5,1.36212,0.53274,1.41692,0.96098,0.9787,0.99257,0.66409,1.20013,0.40711,1.38092,0.0073072,0.0073072,0.0073072
138,13424.2,1.36222,0.52858,1.41774,0.96009,0.9787,0.99262,0.66364,1.19975,0.40662,1.38057,0.0072874,0.0072874,0.0072874
139,13553,1.35922,0.53349,1.40954,0.96021,0.9787,0.99259,0.66398,1.19933,0.40633,1.38028,0.0072676,0.0072676,0.0072676
140,13682,1.35834,0.5291,1.41814,0.96009,0.9787,0.99264,0.66406,1.19873,0.40606,1.3799,0.0072478,0.0072478,0.0072478
141,13810.8,1.35287,0.52907,1.41653,0.9661,0.9716,0.99264,0.66401,1.19864,0.40621,1.37975,0.007228,0.007228,0.007228
142,13939.7,1.35825,0.52983,1.41399,0.9666,0.97278,0.99266,0.66379,1.19825,0.40633,1.37959,0.0072082,0.0072082,0.0072082
143,14068.7,1.3607,0.53723,1.40908,0.96671,0.97278,0.99268,0.66483,1.19815,0.40663,1.3794,0.0071884,0.0071884,0.0071884
144,14182.4,1.36182,0.53051,1.41843,0.96812,0.9716,0.99271,0.66524,1.19792,0.40663,1.37934,0.0071686,0.0071686,0.0071686
145,14272.5,1.35762,0.53919,1.41242,0.96486,0.97474,0.99273,0.6662,1.19724,0.40659,1.37889,0.0071488,0.0071488,0.0071488
146,14365.8,1.35475,0.52459,1.40913,0.96586,0.97396,0.99272,0.66585,1.19701,0.40628,1.37868,0.007129,0.007129,0.007129
147,14494.8,1.35386,0.5264,1.41959,0.96489,0.97515,0.99272,0.66588,1.1968,0.4066,1.3785,0.0071092,0.0071092,0.0071092
148,14623.4,1.35345,0.52699,1.41227,0.96493,0.9769,0.99275,0.66636,1.19652,0.40689,1.37827,0.0070894,0.0070894,0.0070894
149,14752.3,1.34513,0.53032,1.40602,0.96164,0.97892,0.99275,0.66578,1.1964,0.40719,1.37825,0.0070696,0.0070696,0.0070696
150,14881,1.36201,0.53321,1.42053,0.96164,0.97898,0.99273,0.66558,1.19624,0.40661,1.37806,0.0070498,0.0070498,0.0070498
151,15009.9,1.34751,0.52571,1.41122,0.96165,0.97928,0.99273,0.66614,1.19616,0.40693,1.37799,0.00703,0.00703,0.00703
152,15138.9,1.35494,0.52992,1.41845,0.96164,0.97906,0.99273,0.66611,1.19562,0.40674,1.3776,0.0070102,0.0070102,0.0070102
153,15267.8,1.35026,0.52279,1.41003,0.96165,0.97934,0.99274,0.66505,1.19505,0.40693,1.37732,0.0069904,0.0069904,0.0069904
154,15396.6,1.35672,0.52476,1.41622,0.96164,0.97889,0.99275,0.66529,1.19477,0.40673,1.37714,0.0069706,0.0069706,0.0069706
155,15525.4,1.35366,0.53009,1.40789,0.96164,0.97899,0.99274,0.66586,1.19432,0.40684,1.3767,0.0069508,0.0069508,0.0069508
156,15654.4,1.35938,0.53152,1.41032,0.96163,0.97884,0.99278,0.66595,1.19365,0.40688,1.37625,0.006931,0.006931,0.006931
157,15783.4,1.35402,0.52792,1.41213,0.96166,0.97943,0.99278,0.6659,1.19343,0.40657,1.37602,0.0069112,0.0069112,0.0069112
